tamRed;exp;mae;rmse;mse;accuracy
0.1;1;0.008944040164351463;0.027219529558806726;0.0007409027894027531;0.0
0.1;2;0.009779103100299835;0.02723550445457372;0.0007417727028951049;0.0
0.1;3;0.008430459536612034;0.026039249834525022;0.0006780425319448113;0.0
0.1;4;0.009306734427809715;0.027833139665182312;0.0007746836636215448;0.0
0.1;5;0.009497998282313347;0.028839491786162807;0.0008317162864841521;0.0
0.2;1;0.008449495770037174;0.023915998005967602;0.0005719749606214464;0.0
0.2;2;0.007973834872245789;0.022530981655232474;0.0005076451343484223;0.0
0.2;3;0.00846143439412117;0.02294287822263033;0.0005263756611384451;0.0
0.2;4;0.008623166009783745;0.023121594781597993;0.0005346081452444196;0.0
0.2;5;0.007999923080205917;0.020676013197454574;0.0004274975217413157;0.0
0.3;1;0.007971338927745819;0.02007642445269465;0.0004030628188047558;0.0
0.3;2;0.00903539638966322;0.02249192349943787;0.0005058866227045655;0.0
0.3;3;0.008293443359434605;0.02259857182679763;0.0005106954486109316;0.0
0.3;4;0.006303874310106039;0.01750373580531882;0.00030638076714240015;0.0
0.3;5;0.009694097563624382;0.029192933830321302;0.0008522273856215179;0.0
0.4;1;0.012169667519629002;0.02889390916394484;0.0008348579867742956;0.0
0.4;2;0.006987378001213074;0.018688678832702973;0.0003492667165119201;0.0
0.4;3;0.007301646750420332;0.01877298684517875;0.0003524250350892544;0.0
0.4;4;0.008931239135563374;0.02172269368129881;0.0004718754207715392;0.0
0.4;5;0.007447970565408468;0.02104219100298066;0.0004427738022059202;0.0
0.5;1;0.006735142786055803;0.019252184138228313;0.00037064659409224987;0.0
0.5;2;0.007740882690995932;0.020992955261574797;0.00044070417061448097;0.0
0.5;3;0.009390139952301979;0.024658158273939378;0.000608024769462645;0.0
0.5;4;0.00765430461615324;0.01940110701498231;0.00037640295340679586;0.0
0.5;5;0.01062795240432024;0.02876511319253991;0.0008274317369796336;0.0
0.6;1;0.006710469722747803;0.017568568274288144;0.00030865459120832384;0.0
0.6;2;0.0067577180452644825;0.019329520868307498;0.0003736303769983351;0.0
0.6;3;0.007230904884636402;0.02011517901255094;0.00040462042670696974;0.0
0.6;4;0.010642590932548046;0.023289383825083627;0.0005423953989520669;0.0
0.6;5;0.013307224959135056;0.025489998947741708;0.0006497400463558733;0.0
0.7;1;0.00833786092698574;0.021440452957053817;0.0004596930230036378;0.0
0.7;2;0.007912185043096542;0.019180228810576832;0.0003678811772260815;0.0
0.8;1;0.007603960577398539;0.01891871178204799;0.00035791765549220145;0.0
0.8;2;0.008820630609989166;0.02294292515835544;0.0005263778148218989;0.0
0.8;3;0.007604577578604221;0.02032144838277367;0.0004129612643737346;0.0
0.8;4;0.0062416428700089455;0.017829882777238005;0.0003179047198500484;0.0
0.8;5;0.0076082670129835606;0.02161257193606417;0.0004671032656915486;0.0
0.9;1;0.010223716497421265;0.02553528488344738;0.0006520507740788162;0.0
0.9;2;0.009541443549096584;0.01898366224139101;0.0003603794320952147;0.0
0.9;3;0.008044758811593056;0.02243673663821534;0.0005034071509726346;0.0
